<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.26	00:00:00	1.27072	1.27091	1.27039	1.27072	28	0	78
2023.06.26	00:15:00	1.27072	1.27109	1.27064	1.27108	60	0	87
2023.06.26	00:30:00	1.27112	1.27143	1.27112	1.27132	96	0	51
2023.06.26	00:45:00	1.27132	1.27141	1.27122	1.27139	54	0	61
2023.06.26	01:00:00	1.27144	1.27232	1.27144	1.27206	271	0	1
2023.06.26	01:15:00	1.27206	1.27235	1.27201	1.27215	361	0	0
2023.06.26	01:30:00	1.27216	1.27250	1.27209	1.27221	416	0	0
2023.06.26	01:45:00	1.27219	1.27242	1.27204	1.27232	430	0	0
2023.06.26	02:00:00	1.27232	1.27250	1.27212	1.27244	435	0	0
2023.06.26	02:15:00	1.27244	1.27290	1.27244	1.27267	397	0	0
2023.06.26	02:30:00	1.27266	1.27301	1.27266	1.27298	357	0	0
2023.06.26	02:45:00	1.27298	1.27313	1.27278	1.27291	396	0	0
2023.06.26	03:00:00	1.27287	1.27332	1.27250	1.27280	1057	0	0
2023.06.26	03:15:00	1.27279	1.27318	1.27274	1.27315	695	0	0
2023.06.26	03:30:00	1.27315	1.27354	1.27296	1.27311	711	0	0
2023.06.26	03:45:00	1.27310	1.27338	1.27288	1.27336	738	0	0
2023.06.26	04:00:00	1.27336	1.27348	1.27269	1.27292	774	0	0
2023.06.26	04:15:00	1.27290	1.27340	1.27287	1.27334	638	0	0
2023.06.26	04:30:00	1.27335	1.27388	1.27328	1.27358	603	0	0
2023.06.26	04:45:00	1.27357	1.27365	1.27308	1.27309	680	0	0
2023.06.26	05:00:00	1.27309	1.27334	1.27307	1.27329	440	0	0
2023.06.26	05:15:00	1.27338	1.27365	1.27328	1.27361	388	0	0
2023.06.26	05:30:00	1.27361	1.27367	1.27338	1.27360	465	0	0
2023.06.26	05:45:00	1.27360	1.27364	1.27329	1.27330	469	0	0
2023.06.26	06:00:00	1.27329	1.27351	1.27305	1.27325	513	0	0
2023.06.26	06:15:00	1.27325	1.27360	1.27319	1.27347	432	0	0
2023.06.26	06:30:00	1.27347	1.27349	1.27294	1.27297	391	0	0
2023.06.26	06:45:00	1.27297	1.27317	1.27297	1.27315	327	0	0
2023.06.26	07:00:00	1.27315	1.27334	1.27307	1.27323	290	0	0
2023.06.26	07:15:00	1.27323	1.27334	1.27297	1.27302	349	0	0
2023.06.26	07:30:00	1.27302	1.27324	1.27282	1.27304	350	0	0
2023.06.26	07:45:00	1.27304	1.27325	1.27301	1.27324	328	0	0
2023.06.26	08:00:00	1.27322	1.27351	1.27315	1.27346	461	0	0
2023.06.26	08:15:00	1.27347	1.27359	1.27335	1.27343	579	0	0
2023.06.26	08:30:00	1.27343	1.27392	1.27338	1.27375	638	0	1
2023.06.26	08:45:00	1.27373	1.27374	1.27322	1.27339	827	0	0
2023.06.26	09:00:00	1.27329	1.27367	1.27304	1.27326	909	0	0
2023.06.26	09:15:00	1.27326	1.27356	1.27227	1.27242	776	0	0
2023.06.26	09:30:00	1.27241	1.27249	1.27104	1.27163	775	0	0
2023.06.26	09:45:00	1.27169	1.27225	1.27163	1.27209	703	0	0
2023.06.26	10:00:00	1.27209	1.27310	1.27190	1.27284	896	0	0
2023.06.26	10:15:00	1.27283	1.27415	1.27278	1.27387	880	0	0
2023.06.26	10:30:00	1.27385	1.27435	1.27302	1.27373	1108	0	0
2023.06.26	10:45:00	1.27373	1.27486	1.27363	1.27430	950	0	0
2023.06.26	11:00:00	1.27427	1.27428	1.27294	1.27405	1218	0	0
2023.06.26	11:15:00	1.27404	1.27468	1.27390	1.27411	1019	0	0
2023.06.26	11:30:00	1.27411	1.27449	1.27352	1.27353	919	0	0
2023.06.26	11:45:00	1.27350	1.27403	1.27346	1.27372	718	0	0
2023.06.26	12:00:00	1.27370	1.27441	1.27342	1.27414	675	0	0
2023.06.26	12:15:00	1.27414	1.27448	1.27338	1.27382	699	0	0
2023.06.26	12:30:00	1.27381	1.27404	1.27320	1.27360	777	0	0
2023.06.26	12:45:00	1.27357	1.27384	1.27286	1.27311	837	0	0
2023.06.26	13:00:00	1.27310	1.27367	1.27270	1.27340	654	0	0
2023.06.26	13:15:00	1.27340	1.27362	1.27268	1.27337	750	0	0
2023.06.26	13:30:00	1.27337	1.27350	1.27227	1.27239	853	0	0
2023.06.26	13:45:00	1.27239	1.27248	1.27073	1.27109	865	0	0
2023.06.26	14:00:00	1.27108	1.27160	1.27072	1.27114	989	0	0
2023.06.26	14:15:00	1.27114	1.27114	1.26983	1.27004	820	0	0
2023.06.26	14:30:00	1.27003	1.27034	1.26880	1.27012	879	0	0
2023.06.26	14:45:00	1.27011	1.27163	1.27011	1.27152	764	0	0
2023.06.26	15:00:00	1.27144	1.27181	1.27094	1.27103	877	0	0
2023.06.26	15:15:00	1.27102	1.27191	1.27101	1.27155	845	0	0
2023.06.26	15:30:00	1.27155	1.27163	1.27040	1.27049	672	0	0
2023.06.26	15:45:00	1.27049	1.27172	1.27043	1.27168	673	0	0
2023.06.26	16:00:00	1.27096	1.27123	1.27040	1.27123	724	0	0
