DateTime,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,Change_Open_Close,Change_High_Low,Profit_Between_Time_Series,Buy_Signal,Sell_Signal
1993-05-12 00:00:00,1.537,1.5445,1.529,1.5338,2781,0,50,-0.20819778789849508,1.0137344669718817,-0.4637750722267643,0,0
1993-05-13 00:00:00,1.5328,1.536,1.518,1.5225,2571,0,50,-0.6719728601252594,1.1857707509881432,1.7161020957438584,1,0
1993-05-14 00:00:00,1.5228,1.5415,1.52,1.5387,2711,0,50,1.044129235618599,1.4144736842105312,-1.1092122164191125,0,1
1993-05-17 00:00:00,1.5365,1.546,1.5309,1.5355,2921,0,50,-0.06508298080051349,0.9863478999281543,0.1628028505073576,1,0
1993-05-18 00:00:00,1.535,1.538,1.5237,1.5365,2711,0,50,0.0977198697068441,0.9385049550436423,0.43648208469054905,1,1
1993-05-19 00:00:00,1.535,1.5482,1.5328,1.5432,2261,0,50,0.5342019543973932,1.0046972860125314,0.37341554965447143,1,1
1993-05-20 00:00:00,1.5425,1.5603,1.5383,1.5565,3001,0,50,0.9076175040518646,1.430150165767407,-1.6987160376253132,0,1
1993-05-21 00:00:00,1.5548,1.5592,1.539,1.5425,2811,0,50,-0.7910985335734486,1.3125406107862245,0.5638258063007175,1,0
1993-05-24 00:00:00,1.54,1.545,1.5289,1.5365,2871,0,50,-0.22727272727273107,1.0530446726404608,0.45476703991491885,1,1
1993-05-25 00:00:00,1.5385,1.547,1.5345,1.542,2151,0,50,0.22749431264218775,0.8145975887911343,0.10973007127479481,1,1
1993-05-26 00:00:00,1.542,1.5505,1.541,1.5472,1381,0,50,0.33722438391698256,0.6164828033744364,0.7434719210076379,1,1
1993-05-27 00:00:00,1.5453,1.565,1.5425,1.562,2831,0,50,1.0806963049246205,1.458670988654779,-1.0999147546363417,0,1
1993-05-28 00:00:00,1.561,1.568,1.5535,1.5607,2871,0,50,-0.01921844971172114,0.9333762471837757,0.051259462207712485,0,0
1993-05-31 00:00:00,1.5605,1.563,1.556,1.561,1351,0,50,0.032041012495991346,0.44987146529562305,-0.4035263132069249,0,0
1993-06-01 00:00:00,1.5613,1.567,1.546,1.5555,3621,0,50,-0.37148530071093355,1.3583441138421672,-0.5549171696956521,0,0
1993-06-02 00:00:00,1.5544,1.556,1.5364,1.54,2481,0,50,-0.9264024704065856,1.2757094506638935,1.562642163972776,1,0
1993-06-03 00:00:00,1.5403,1.5501,1.537,1.5501,1641,0,50,0.6362396935661904,0.8523096942095063,-3.2508297516681908,0,1
1993-06-04 00:00:00,1.549,1.5505,1.506,1.5085,4851,0,50,-2.6145900581020003,2.9548472775564396,3.975540731938551,1,0
1993-06-07 00:00:00,1.5063,1.5268,1.506,1.5268,2111,0,50,1.3609506738365507,1.3811420982735678,-1.6756428655365532,0,1
1993-06-08 00:00:00,1.5253,1.5265,1.5135,1.5205,2121,0,50,-0.31469219170000245,0.8589362405021407,0.03170436675758914,0,0
1993-06-09 00:00:00,1.5195,1.527,1.5069,1.5152,3591,0,50,-0.2829878249424133,1.3338642245669923,1.3928510739349433,1,0
1993-06-10 00:00:00,1.5137,1.5325,1.507,1.5305,3421,0,50,1.10986324899253,1.6921035169210403,-1.619900520947021,0,1
1993-06-11 00:00:00,1.5293,1.5405,1.5185,1.5215,3621,0,50,-0.5100372719544909,1.4487981560750753,1.1354487268590376,1,0
1993-06-14 00:00:00,1.519,1.533,1.519,1.5285,1851,0,50,0.6254114549045466,0.9216589861751161,-1.3455423878014448,0,1
1993-06-15 00:00:00,1.5275,1.5355,1.514,1.5165,3201,0,50,-0.7201309328968982,1.4200792602377856,0.10647207443433893,1,0
1993-06-16 00:00:00,1.5155,1.52,1.498,1.5062,3471,0,50,-0.6136588584625593,1.4686248331108158,1.1782553380374483,1,1
1993-06-17 00:00:00,1.5055,1.5187,1.4985,1.514,3191,0,50,0.5645964795748889,1.3480146813480145,-1.6674890961380866,0,1
1993-06-18 00:00:00,1.5142,1.517,1.492,1.4975,3331,0,50,-1.1028926165631976,1.6756032171581712,0.7347533930022832,1,0
1993-06-21 00:00:00,1.494,1.498,1.4799,1.4885,3071,0,50,-0.3681392235609144,1.223055611865667,-0.3373636992369056,0,1
1993-06-22 00:00:00,1.4883,1.4905,1.474,1.4778,2251,0,50,-0.70550292279782,1.119402985074624,0.40103742888713334,1,0
1993-06-23 00:00:00,1.478,1.481,1.467,1.4735,2351,0,50,-0.30446549391068667,0.9543285616905256,0.10066114608460708,1,1
