time,price,positions,capital
2024-05-23 21:07:06.848734,66575.04,0.015020644373627115,100
2024-05-23 21:08:06.891294,66638.05,0.015020644373627115,100
2024-05-23 21:09:06.928570,66695.9,0.0,463.0790157993164
2024-05-23 21:10:06.970311,66798.45,0.0,463.0790157993164
2024-05-23 21:11:07.004601,66770.37,0.0,463.0790157993164
2024-05-23 21:12:07.038146,66670.46,0.0,463.0790157993164
2024-05-23 21:13:07.080444,66781.89,0.0,463.0790157993164
2024-05-23 21:14:07.112840,66718.28,0.0,463.0790157993164
2024-05-23 21:15:07.145541,66648.19,0.0,463.0790157993164
2024-05-23 21:16:07.197632,66853.96,0.0,463.0790157993164
2024-05-23 21:17:07.235432,66981.77,0.0,463.0790157993164
2024-05-23 21:18:07.268484,67225.74,0.0,463.0790157993164
2024-05-23 21:19:07.300066,67121.3,0.0,463.0790157993164
2024-05-23 21:20:07.332281,67294.43,0.0,463.0790157993164
2024-05-23 21:21:07.372746,67308.03,0.0,463.0790157993164
2024-05-23 21:22:07.410381,67320.99,0.0,463.0790157993164
2024-05-23 21:23:07.447720,67290.75,0.0,463.0790157993164
2024-05-23 21:24:07.485523,67219.44,0.0,463.0790157993164
2024-05-23 21:25:07.519907,67323.9,0.0,463.0790157993164
2024-05-23 21:26:07.563001,67310.31,0.0,463.0790157993164
2024-05-23 21:27:07.598997,67315.59,0.0,463.0790157993164
2024-05-23 21:28:07.633193,67494.46,0.0,463.0790157993164
2024-05-23 21:29:07.672867,67446.22,0.0,463.0790157993164
2024-05-23 21:30:07.717124,67408.02,0.0,463.0790157993164
2024-05-23 21:31:07.756610,67368.62,0.0,463.0790157993164
2024-05-23 21:32:07.795547,67341.45,0.0,463.0790157993164
2024-05-23 21:33:07.834970,67393.74,0.0,463.0790157993164
2024-05-23 21:34:07.866895,67437.64,0.0,463.0790157993164
2024-05-23 21:35:07.903712,67537.12,0.0,463.0790157993164
2024-05-23 21:36:07.939493,67644.94,0.0,463.0790157993164
2024-05-23 21:37:07.976028,67476.79,0.0,463.0790157993164
2024-05-23 21:38:08.011897,67462.77,0.0,463.0790157993164
2024-05-23 21:39:08.050086,67479.43,0.0,463.0790157993164
2024-05-23 21:40:08.087468,67462.79,0.0,463.0790157993164
2024-05-23 21:41:08.125433,67450.77,0.0,463.0790157993164
2024-05-23 21:42:08.157228,67519.26,0.0,463.0790157993164
2024-05-23 21:43:08.192769,67449.93,0.0,463.0790157993164
2024-05-23 21:44:08.229544,67451.93,0.0,463.0790157993164
2024-05-23 21:45:08.269797,67483.32,0.0,463.0790157993164
2024-05-23 21:46:08.312686,67407.59,0.0,463.0790157993164
2024-05-23 21:47:08.345455,67553.19,0.0,463.0790157993164
2024-05-23 21:48:08.390272,67506.39,0.0,463.0790157993164
2024-05-23 21:49:08.434244,67585.5,0.0,463.0790157993164
2024-05-23 21:50:08.478403,67582.58,0.0,463.0790157993164
2024-05-23 21:51:08.523662,67629.76,0.0,463.0790157993164
2024-05-23 21:52:08.557718,67522.23,0.0,463.0790157993164
2024-05-23 21:53:08.592309,67596.31,0.0,463.0790157993164
2024-05-23 21:54:08.637837,67654.03,0.0,463.0790157993164
2024-05-23 21:55:08.677512,67681.1,0.0,463.0790157993164
2024-05-23 21:56:08.726987,67754.65,0.0,463.0790157993164
2024-05-23 21:57:08.765207,67811.27,0.0,463.0790157993164
2024-05-23 21:58:08.806081,67865.07,0.0,463.0790157993164
2024-05-23 21:59:08.843444,67769.48,0.0,463.0790157993164
2024-05-23 22:00:08.881039,67769.48,0.0,463.0790157993164
2024-05-23 22:01:08.923453,67769.48,0.0,463.0790157993164
2024-05-23 22:02:08.960719,67769.48,0.0,463.0790157993164
2024-05-23 22:03:09.006069,67769.48,0.0,463.0790157993164
2024-05-23 22:04:09.045623,67769.48,0.0,463.0790157993164
2024-05-23 22:05:09.080487,67714.89,0.0,463.0790157993164
2024-05-23 22:06:09.112751,68024.46,0.0,463.0790157993164
2024-05-23 22:07:09.156301,67865.07,0.0,463.0790157993164
2024-05-23 22:08:09.194621,67822.72,0.0,463.0790157993164
2024-05-23 22:09:09.230867,68160.22,0.0,463.0790157993164
2024-05-23 22:10:09.266274,68227.08,0.0,463.0790157993164
2024-05-23 22:11:09.307108,68141.27,0.0,463.0790157993164
2024-05-23 22:12:09.347900,68166.22,0.0,463.0790157993164
2024-05-23 22:13:09.392148,68105.45,0.0,463.0790157993164
2024-05-23 22:14:09.427671,67840.38,0.0,463.0790157993164
2024-05-23 22:15:09.472465,67676.32,0.0,463.0790157993164
2024-05-23 22:16:09.514954,67560.82,0.0,463.0790157993164
2024-05-23 22:17:09.556584,67366.22,0.01484423498899003,463.0790157993164
2024-05-23 22:18:09.598523,67466.26,0.01484423498899003,463.0790157993164
2024-05-23 22:19:09.643128,67561.55,0.0,1042.983899879206
2024-05-23 22:20:09.681249,67483.62,0.0,1042.983899879206
2024-05-23 22:21:09.714346,67321.17,0.014854168458450738,1042.983899879206
2024-05-23 22:22:09.749400,67327.91,0.014854168458450738,1042.983899879206
2024-05-23 22:23:09.794832,67271.3,0.014854168458450738,1042.983899879206
2024-05-23 22:24:09.828496,67379.6,0.014854168458450738,1042.983899879206
2024-05-23 22:25:09.868924,67249.6,0.014854168458450738,1042.983899879206
2024-05-23 22:26:09.909166,67072.12,0.014854168458450738,1042.983899879206
2024-05-23 22:27:09.947655,67263.05,0.014854168458450738,1042.983899879206
2024-05-23 22:28:09.988367,67238.22,0.014854168458450738,1042.983899879206
