<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.26	00:00:00	1.27072	1.27091	1.27039	1.27091	17	0	78
2023.06.26	00:05:00	1.27091	1.27091	1.27072	1.27072	6	0	125
2023.06.26	00:10:00	1.27072	1.27072	1.27072	1.27072	5	0	144
2023.06.26	00:15:00	1.27072	1.27100	1.27071	1.27100	12	0	101
2023.06.26	00:20:00	1.27100	1.27100	1.27064	1.27087	15	0	90
2023.06.26	00:25:00	1.27087	1.27109	1.27086	1.27108	33	0	87
2023.06.26	00:30:00	1.27112	1.27143	1.27112	1.27133	49	0	51
2023.06.26	00:35:00	1.27133	1.27142	1.27121	1.27132	33	0	52
2023.06.26	00:40:00	1.27132	1.27133	1.27130	1.27132	14	0	60
2023.06.26	00:45:00	1.27132	1.27137	1.27124	1.27124	20	0	61
2023.06.26	00:50:00	1.27124	1.27141	1.27122	1.27137	24	0	75
2023.06.26	00:55:00	1.27137	1.27139	1.27135	1.27139	10	0	62
2023.06.26	01:00:00	1.27144	1.27219	1.27144	1.27219	97	0	4
2023.06.26	01:05:00	1.27218	1.27231	1.27206	1.27215	55	0	1
2023.06.26	01:10:00	1.27213	1.27232	1.27191	1.27206	119	0	1
2023.06.26	01:15:00	1.27206	1.27224	1.27201	1.27214	194	0	9
2023.06.26	01:20:00	1.27214	1.27233	1.27214	1.27230	57	0	0
2023.06.26	01:25:00	1.27230	1.27235	1.27215	1.27215	110	0	0
2023.06.26	01:30:00	1.27216	1.27233	1.27210	1.27233	130	0	0
2023.06.26	01:35:00	1.27233	1.27250	1.27215	1.27222	152	0	0
2023.06.26	01:40:00	1.27220	1.27222	1.27209	1.27221	134	0	0
2023.06.26	01:45:00	1.27219	1.27240	1.27206	1.27208	156	0	0
2023.06.26	01:50:00	1.27208	1.27230	1.27204	1.27228	107	0	0
2023.06.26	01:55:00	1.27228	1.27242	1.27212	1.27232	167	0	0
2023.06.26	02:00:00	1.27232	1.27240	1.27212	1.27215	182	0	0
2023.06.26	02:05:00	1.27214	1.27238	1.27212	1.27215	137	0	0
2023.06.26	02:10:00	1.27215	1.27250	1.27212	1.27244	116	0	0
2023.06.26	02:15:00	1.27244	1.27282	1.27244	1.27270	109	0	0
2023.06.26	02:20:00	1.27271	1.27290	1.27262	1.27277	184	0	0
2023.06.26	02:25:00	1.27280	1.27284	1.27261	1.27267	104	0	0
2023.06.26	02:30:00	1.27266	1.27283	1.27266	1.27275	101	0	1
2023.06.26	02:35:00	1.27275	1.27297	1.27274	1.27291	67	0	0
2023.06.26	02:40:00	1.27291	1.27301	1.27285	1.27298	189	0	1
2023.06.26	02:45:00	1.27298	1.27313	1.27285	1.27313	138	0	0
2023.06.26	02:50:00	1.27312	1.27312	1.27278	1.27281	141	0	0
2023.06.26	02:55:00	1.27280	1.27292	1.27280	1.27291	117	0	0
2023.06.26	03:00:00	1.27287	1.27332	1.27262	1.27277	380	0	0
2023.06.26	03:05:00	1.27277	1.27291	1.27250	1.27279	352	0	0
2023.06.26	03:10:00	1.27279	1.27299	1.27279	1.27280	325	0	0
2023.06.26	03:15:00	1.27279	1.27296	1.27274	1.27283	258	0	0
2023.06.26	03:20:00	1.27284	1.27318	1.27274	1.27315	221	0	0
2023.06.26	03:25:00	1.27317	1.27318	1.27301	1.27315	216	0	0
2023.06.26	03:30:00	1.27315	1.27343	1.27296	1.27337	297	0	0
2023.06.26	03:35:00	1.27337	1.27354	1.27329	1.27346	207	0	0
2023.06.26	03:40:00	1.27345	1.27352	1.27306	1.27311	207	0	0
2023.06.26	03:45:00	1.27310	1.27338	1.27310	1.27325	276	0	0
2023.06.26	03:50:00	1.27324	1.27327	1.27288	1.27308	295	0	0
2023.06.26	03:55:00	1.27308	1.27336	1.27293	1.27336	167	0	0
2023.06.26	04:00:00	1.27336	1.27348	1.27295	1.27296	266	0	0
2023.06.26	04:05:00	1.27296	1.27317	1.27285	1.27307	211	0	0
2023.06.26	04:10:00	1.27305	1.27313	1.27269	1.27292	297	0	0
2023.06.26	04:15:00	1.27290	1.27331	1.27287	1.27329	254	0	0
2023.06.26	04:20:00	1.27328	1.27340	1.27317	1.27317	206	0	0
2023.06.26	04:25:00	1.27317	1.27338	1.27308	1.27334	178	0	0
2023.06.26	04:30:00	1.27335	1.27362	1.27328	1.27362	214	0	0
2023.06.26	04:35:00	1.27362	1.27386	1.27335	1.27378	164	0	0
2023.06.26	04:40:00	1.27377	1.27388	1.27344	1.27358	225	0	0
2023.06.26	04:45:00	1.27357	1.27365	1.27336	1.27337	187	0	0
2023.06.26	04:50:00	1.27336	1.27345	1.27318	1.27320	292	0	0
2023.06.26	04:55:00	1.27321	1.27324	1.27308	1.27309	201	0	0
2023.06.26	05:00:00	1.27309	1.27324	1.27307	1.27321	192	0	0
2023.06.26	05:05:00	1.27322	1.27334	1.27309	1.27311	185	0	2
2023.06.26	05:10:00	1.27311	1.27334	1.27311	1.27329	63	0	1
2023.06.26	05:15:00	1.27338	1.27355	1.27335	1.27350	100	0	0
2023.06.26	05:20:00	1.27350	1.27351	1.27328	1.27336	97	0	0
2023.06.26	05:25:00	1.27336	1.27365	1.27329	1.27361	191	0	0
2023.06.26	05:30:00	1.27361	1.27362	1.27338	1.27343	160	0	0
2023.06.26	05:35:00	1.27343	1.27366	1.27339	1.27357	163	0	0
2023.06.26	05:40:00	1.27357	1.27367	1.27354	1.27360	142	0	0
2023.06.26	05:45:00	1.27360	1.27364	1.27345	1.27356	102	0	0
2023.06.26	05:50:00	1.27356	1.27357	1.27334	1.27347	167	0	0
2023.06.26	05:55:00	1.27345	1.27348	1.27329	1.27330	200	0	0
2023.06.26	06:00:00	1.27329	1.27331	1.27311	1.27323	254	0	0
2023.06.26	06:05:00	1.27324	1.27341	1.27319	1.27339	125	0	0
2023.06.26	06:10:00	1.27343	1.27351	1.27305	1.27325	134	0	2
2023.06.26	06:15:00	1.27325	1.27344	1.27319	1.27343	127	0	1
2023.06.26	06:20:00	1.27344	1.27349	1.27338	1.27345	127	0	0
2023.06.26	06:25:00	1.27345	1.27360	1.27339	1.27347	178	0	0
2023.06.26	06:30:00	1.27347	1.27349	1.27324	1.27325	159	0	0
2023.06.26	06:35:00	1.27325	1.27326	1.27315	1.27321	92	0	0
2023.06.26	06:40:00	1.27321	1.27322	1.27294	1.27297	140	0	0
2023.06.26	06:45:00	1.27297	1.27314	1.27297	1.27310	140	0	0
2023.06.26	06:50:00	1.27310	1.27313	1.27297	1.27303	122	0	0
2023.06.26	06:55:00	1.27303	1.27317	1.27303	1.27315	65	0	0
2023.06.26	07:00:00	1.27315	1.27317	1.27307	1.27314	99	0	1
2023.06.26	07:05:00	1.27314	1.27322	1.27311	1.27313	86	0	0
2023.06.26	07:10:00	1.27314	1.27334	1.27314	1.27323	105	0	0
2023.06.26	07:15:00	1.27323	1.27334	1.27311	1.27319	101	0	0
2023.06.26	07:20:00	1.27319	1.27321	1.27297	1.27312	127	0	0
2023.06.26	07:25:00	1.27312	1.27322	1.27301	1.27302	121	0	1
2023.06.26	07:30:00	1.27302	1.27307	1.27282	1.27296	142	0	1
2023.06.26	07:35:00	1.27295	1.27315	1.27295	1.27313	104	0	1
2023.06.26	07:40:00	1.27313	1.27324	1.27299	1.27304	104	0	0
2023.06.26	07:45:00	1.27304	1.27316	1.27301	1.27313	128	0	0
2023.06.26	07:50:00	1.27313	1.27317	1.27305	1.27312	88	0	0
2023.06.26	07:55:00	1.27312	1.27325	1.27311	1.27324	112	0	0
2023.06.26	08:00:00	1.27322	1.27339	1.27315	1.27334	217	0	0
2023.06.26	08:05:00	1.27334	1.27343	1.27319	1.27319	102	0	0
2023.06.26	08:10:00	1.27319	1.27351	1.27319	1.27346	142	0	0
2023.06.26	08:15:00	1.27347	1.27356	1.27335	1.27344	196	0	0
2023.06.26	08:20:00	1.27345	1.27355	1.27343	1.27347	184	0	0
2023.06.26	08:25:00	1.27347	1.27359	1.27341	1.27343	199	0	0
2023.06.26	08:30:00	1.27343	1.27386	1.27338	1.27386	197	0	1
2023.06.26	08:35:00	1.27386	1.27392	1.27372	1.27372	125	0	2
2023.06.26	08:40:00	1.27366	1.27383	1.27356	1.27375	316	0	1
2023.06.26	08:45:00	1.27373	1.27374	1.27360	1.27363	227	0	1
2023.06.26	08:50:00	1.27364	1.27369	1.27347	1.27361	247	0	0
2023.06.26	08:55:00	1.27361	1.27363	1.27322	1.27339	353	0	2
2023.06.26	09:00:00	1.27329	1.27363	1.27319	1.27349	344	0	0
2023.06.26	09:05:00	1.27349	1.27349	1.27304	1.27334	325	0	0
2023.06.26	09:10:00	1.27331	1.27367	1.27326	1.27326	240	0	0
2023.06.26	09:15:00	1.27326	1.27356	1.27312	1.27326	266	0	0
2023.06.26	09:20:00	1.27327	1.27348	1.27253	1.27256	306	0	0
2023.06.26	09:25:00	1.27250	1.27285	1.27227	1.27242	204	0	0
2023.06.26	09:30:00	1.27241	1.27249	1.27193	1.27210	222	0	0
2023.06.26	09:35:00	1.27204	1.27210	1.27120	1.27120	232	0	0
2023.06.26	09:40:00	1.27118	1.27173	1.27104	1.27163	321	0	0
2023.06.26	09:45:00	1.27169	1.27204	1.27163	1.27196	282	0	0
2023.06.26	09:50:00	1.27196	1.27214	1.27185	1.27193	176	0	0
2023.06.26	09:55:00	1.27191	1.27225	1.27183	1.27209	245	0	0
2023.06.26	10:00:00	1.27209	1.27305	1.27190	1.27253	289	0	0
2023.06.26	10:05:00	1.27253	1.27254	1.27199	1.27232	256	0	0
2023.06.26	10:10:00	1.27234	1.27310	1.27214	1.27284	351	0	0
2023.06.26	10:15:00	1.27283	1.27366	1.27278	1.27312	333	0	0
2023.06.26	10:20:00	1.27310	1.27387	1.27289	1.27380	247	0	0
2023.06.26	10:25:00	1.27375	1.27415	1.27325	1.27387	300	0	0
2023.06.26	10:30:00	1.27385	1.27417	1.27339	1.27346	367	0	0
2023.06.26	10:35:00	1.27346	1.27387	1.27302	1.27383	409	0	0
2023.06.26	10:40:00	1.27383	1.27435	1.27352	1.27373	332	0	0
2023.06.26	10:45:00	1.27373	1.27416	1.27363	1.27397	302	0	0
2023.06.26	10:50:00	1.27396	1.27460	1.27365	1.27457	303	0	0
2023.06.26	10:55:00	1.27457	1.27486	1.27425	1.27430	345	0	0
2023.06.26	11:00:00	1.27427	1.27428	1.27337	1.27382	490	0	0
2023.06.26	11:05:00	1.27382	1.27412	1.27294	1.27322	377	0	0
2023.06.26	11:10:00	1.27322	1.27406	1.27319	1.27405	351	0	0
2023.06.26	11:15:00	1.27404	1.27446	1.27400	1.27435	445	0	0
2023.06.26	11:20:00	1.27435	1.27468	1.27392	1.27438	326	0	0
2023.06.26	11:25:00	1.27437	1.27456	1.27390	1.27411	248	0	0
2023.06.26	11:30:00	1.27411	1.27434	1.27381	1.27400	336	0	0
2023.06.26	11:35:00	1.27399	1.27416	1.27367	1.27407	313	0	0
2023.06.26	11:40:00	1.27407	1.27449	1.27352	1.27353	270	0	0
2023.06.26	11:45:00	1.27350	1.27393	1.27346	1.27370	255	0	0
2023.06.26	11:50:00	1.27361	1.27403	1.27361	1.27380	267	0	0
2023.06.26	11:55:00	1.27380	1.27383	1.27361	1.27372	196	0	0
2023.06.26	12:00:00	1.27370	1.27416	1.27361	1.27394	237	0	0
2023.06.26	12:05:00	1.27389	1.27405	1.27342	1.27380	218	0	0
2023.06.26	12:10:00	1.27380	1.27441	1.27365	1.27414	220	0	0
2023.06.26	12:15:00	1.27414	1.27448	1.27410	1.27428	250	0	0
2023.06.26	12:20:00	1.27437	1.27447	1.27366	1.27370	254	0	0
2023.06.26	12:25:00	1.27370	1.27387	1.27338	1.27382	195	0	0
2023.06.26	12:30:00	1.27381	1.27381	1.27320	1.27344	225	0	0
2023.06.26	12:35:00	1.27346	1.27403	1.27336	1.27385	293	0	0
2023.06.26	12:40:00	1.27390	1.27404	1.27340	1.27360	259	0	0
2023.06.26	12:45:00	1.27357	1.27384	1.27326	1.27342	300	0	0
2023.06.26	12:50:00	1.27341	1.27360	1.27286	1.27330	242	0	0
2023.06.26	12:55:00	1.27330	1.27341	1.27293	1.27311	295	0	0
2023.06.26	13:00:00	1.27310	1.27311	1.27270	1.27311	240	0	0
2023.06.26	13:05:00	1.27314	1.27341	1.27301	1.27339	198	0	0
2023.06.26	13:10:00	1.27339	1.27367	1.27331	1.27340	216	0	0
2023.06.26	13:15:00	1.27340	1.27346	1.27309	1.27311	255	0	0
2023.06.26	13:20:00	1.27311	1.27331	1.27271	1.27282	213	0	0
2023.06.26	13:25:00	1.27279	1.27362	1.27268	1.27337	282	0	0
2023.06.26	13:30:00	1.27337	1.27342	1.27288	1.27304	253	0	0
2023.06.26	13:35:00	1.27304	1.27350	1.27236	1.27247	295	0	0
2023.06.26	13:40:00	1.27246	1.27278	1.27227	1.27239	305	0	0
2023.06.26	13:45:00	1.27239	1.27248	1.27206	1.27239	224	0	0
2023.06.26	13:50:00	1.27241	1.27241	1.27112	1.27116	278	0	0
2023.06.26	13:55:00	1.27116	1.27136	1.27073	1.27109	363	0	0
2023.06.26	14:00:00	1.27108	1.27151	1.27072	1.27126	404	0	0
2023.06.26	14:05:00	1.27123	1.27160	1.27099	1.27129	310	0	0
2023.06.26	14:10:00	1.27128	1.27139	1.27101	1.27114	275	0	0
2023.06.26	14:15:00	1.27114	1.27114	1.27040	1.27089	233	0	0
2023.06.26	14:20:00	1.27088	1.27098	1.26984	1.26995	286	0	0
2023.06.26	14:25:00	1.26995	1.27034	1.26983	1.27004	301	0	0
2023.06.26	14:30:00	1.27003	1.27006	1.26885	1.26887	282	0	0
2023.06.26	14:35:00	1.26886	1.26997	1.26880	1.26973	278	0	0
2023.06.26	14:40:00	1.26972	1.27034	1.26963	1.27012	319	0	0
2023.06.26	14:45:00	1.27011	1.27103	1.27011	1.27093	278	0	0
2023.06.26	14:50:00	1.27097	1.27143	1.27084	1.27112	242	0	0
2023.06.26	14:55:00	1.27114	1.27163	1.27102	1.27152	244	0	0
2023.06.26	15:00:00	1.27144	1.27181	1.27122	1.27145	382	0	0
2023.06.26	15:05:00	1.27144	1.27159	1.27117	1.27125	245	0	0
2023.06.26	15:10:00	1.27126	1.27143	1.27094	1.27103	250	0	0
2023.06.26	15:15:00	1.27102	1.27159	1.27101	1.27113	211	0	0
2023.06.26	15:20:00	1.27113	1.27181	1.27109	1.27164	339	0	0
2023.06.26	15:25:00	1.27168	1.27191	1.27116	1.27155	295	0	0
2023.06.26	15:30:00	1.27155	1.27163	1.27117	1.27137	221	0	0
2023.06.26	15:35:00	1.27134	1.27152	1.27114	1.27126	240	0	0
2023.06.26	15:40:00	1.27125	1.27130	1.27040	1.27049	211	0	0
2023.06.26	15:45:00	1.27049	1.27110	1.27043	1.27078	260	0	0
2023.06.26	15:50:00	1.27079	1.27114	1.27079	1.27114	162	0	0
2023.06.26	15:55:00	1.27115	1.27172	1.27111	1.27168	251	0	0
2023.06.26	16:00:00	1.27096	1.27102	1.27040	1.27067	220	0	0
2023.06.26	16:05:00	1.27067	1.27079	1.27055	1.27069	230	0	0
2023.06.26	16:10:00	1.27069	1.27123	1.27058	1.27123	274	0	0
2023.06.26	16:15:00	1.27126	1.27159	1.27106	1.27106	231	0	0
2023.06.26	16:20:00	1.27109	1.27155	1.27101	1.27146	238	0	0
2023.06.26	16:25:00	1.27146	1.27147	1.27069	1.27101	257	0	0
